ID,CODE,SYSTEM,DISPLAY,DEFINITION
43,PGGRMTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,paternal great-grandmother,DescriptionThe player of the role is the biological mother of the scoping persons biological fathers parent
44,MGGRPRN,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,maternal great-grandparent,DescriptionThe player of the role is a biological parent of the scoping persons biological mothers parent
45,PGGRPRN,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,paternal great-grandparent,DescriptionThe player of the role is a biological parent of the scoping persons biological fathers parent
46,GRNDCHILD,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,grandchild,The player of the role is a child of the scoping persons son or daughter
47,GRNDDAU,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,granddaughter,The player of the role is a daughter of the scoping persons son or daughter
48,GRNDSON,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,grandson,The player of the role is a son of the scoping persons son or daughter
49,GRPRN,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,grandparent,The player of the role is a parent of the scoping persons mother or father
50,GRFTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,grandfather,The player of the role is the father of the scoping persons mother or father
51,MGRFTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,maternal grandfather,DescriptionThe player of the role is the biological father of the scoping persons biological mother
52,PGRFTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,paternal grandfather,DescriptionThe player of the role is the biological father of the scoping persons biological father
53,GRMTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,grandmother,The player of the role is the mother of the scoping persons mother or father
54,MGRMTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,maternal grandmother,DescriptionThe player of the role is the biological mother of the scoping persons biological mother
55,PGRMTH,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,paternal grandmother,DescriptionThe player of the role is the biological mother of the scoping persons biological father
56,MGRPRN,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,maternal grandparent,DescriptionThe player of the role is the biological parent of the scoping persons biological mother
57,PGRPRN,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,paternal grandparent,DescriptionThe player of the role is the biological parent of the scoping persons biological father
58,INLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,inlaw,A relationship between an individual and a member of their spousal partners immediate family
59,CHLDINLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,child-in-law,The player of the role is the spouse of scoping persons child
60,DAUINLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,daughter in-law,The player of the role is the wife of scoping persons son
61,SONINLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,son in-law,The player of the role is the husband of scoping persons daughter
62,PRNINLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,parent in-law,The player of the role is the parent of scoping persons husband or wife
63,FTHINLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,father-in-law,The player of the role is the father of the scoping persons husband or wife
64,MTHINLAW,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,mother-in-law,The player of the role is the mother of the scoping persons husband or wife
