ID,CODE,DISPLAY,DEFINITION
1,phone,Phone,The value is a telephone number used for voice calls Use of full international numbers starting with  is recommended to enable automatic dialing support but not required
2,fax,Fax,The value is a fax machine Use of full international numbers starting with  is recommended to enable automatic dialing support but not required
3,email,Email,The value is an email address
4,pager,Pager,The value is a pager number These may be local pager numbers that are only usable on a particular pager system
5,url,URL,A contact that is not a phone, fax, pager or email address and is expressed as a URL This is intended for various personal contacts including blogs, Skype, Twitter, Facebook, etc Do not use for email addresses
6,sms,SMS,A contact that can be used for sending an sms message (eg mobide phones, some landlines)
7,other,Other,A contact that is not a phone, fax, page or email address and is not expressible as a URL Eg Internal mail address This SHOULD NOT be used for contacts that are expressible as a URL (eg Skype, Twitter, Facebook, etc) Extensions may be used to distinguish other contact types
11,line,LINEs,The value is ID LINE
14,use,LINEs,The value is ID LINE
